day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
1,0,SQUID_INK,1834,23,,,,,1838,23,,,,,1836.0,0.0
1,0,RAINFOREST_RESIN,9992,31,,,,,10008,31,,,,,10000.0,0.0
1,0,KELP,2032,23,,,,,2035,23,,,,,2033.5,0.0
1,100,KELP,2034,1,2033,2,2032,22,2035,22,,,,,2034.5,0.0
1,100,SQUID_INK,1838,1,1837,2,1836,22,1839,22,,,,,1838.5,0.0
1,100,RAINFOREST_RESIN,9992,27,,,,,10008,27,,,,,10000.0,12.0
1,200,RAINFOREST_RESIN,10001,1,9992,25,,,10008,25,,,,,10004.5,18.0
1,200,KELP,2032,1,2031,21,,,2035,22,,,,,2033.5,0.0
1,200,SQUID_INK,1839,22,,,,,1842,22,,,,,1840.5,0.0
1,300,KELP,2034,1,2032,26,,,2035,26,,,,,2034.5,0.0
1,300,SQUID_INK,1843,1,1841,26,,,1844,26,,,,,1843.5,0.0
1,300,RAINFOREST_RESIN,10001,1,9992,32,,,10008,32,,,,,10004.5,18.0
1,400,SQUID_INK,1842,28,,,,,1845,28,,,,,1843.5,0.0
1,400,RAINFOREST_RESIN,9992,28,,,,,10003,6,10008,28,,,9997.5,16.0
1,400,KELP,2032,2,2031,26,,,2035,28,,,,,2033.5,0.0
1,500,KELP,2032,1,2031,23,,,2033,3,2035,24,,,2032.5,0.0
1,500,SQUID_INK,1839,1,1838,23,,,1840,3,1842,24,,,1839.5,0.0
1,500,RAINFOREST_RESIN,9992,34,,,,,10008,34,,,,,10000.0,16.0
1,600,RAINFOREST_RESIN,9997,3,9992,27,,,10008,27,,,,,10002.5,16.0
1,600,KELP,2033,5,2032,2,2031,28,2035,30,,,,,2034.0,0.0
1,600,SQUID_INK,1840,5,1838,30,,,1841,30,,,,,1840.5,0.0
1,700,KELP,2031,22,,,,,2035,23,,,,,2033.0,0.0
1,700,SQUID_INK,1834,22,,,,,1837,23,,,,,1835.5,0.0
1,700,RAINFOREST_RESIN,9992,33,,,,,10008,33,,,,,10000.0,16.0
1,800,SQUID_INK,1833,25,,,,,1834,3,1836,25,,,1833.5,0.0
1,800,RAINFOREST_RESIN,9992,35,,,,,10008,35,,,,,10000.0,16.0
1,800,KELP,2032,1,2031,24,,,2033,3,2035,25,,,2032.5,0.0
1,900,SQUID_INK,1834,21,,,,,1837,21,,,,,1835.5,0.0
1,900,KELP,2032,1,2031,20,,,2035,21,,,,,2033.5,0.0
1,900,RAINFOREST_RESIN,9992,27,,,,,9997,11,10008,27,,,9994.5,16.0
1,1000,RAINFOREST_RESIN,9992,29,,,,,10008,29,,,,,10000.0,16.0
1,1000,KELP,2032,31,,,,,2035,31,,,,,2033.5,0.0
1,1000,SQUID_INK,1835,31,,,,,1838,31,,,,,1836.5,0.0
1,1100,SQUID_INK,1836,22,,,,,1839,22,,,,,1837.5,0.0
1,1100,KELP,2032,22,,,,,2035,22,,,,,2033.5,0.0
1,1100,RAINFOREST_RESIN,9992,28,,,,,10008,28,,,,,10000.0,16.0
1,1200,SQUID_INK,1836,23,,,,,1837,1,1839,1,1840,22,1836.5,0.0
1,1200,RAINFOREST_RESIN,9992,32,,,,,10008,32,,,,,10000.0,16.0
1,1200,KELP,2032,22,,,,,2035,23,,,,,2033.5,0.0
1,1300,SQUID_INK,1839,25,,,,,1842,25,,,,,1840.5,0.0
1,1300,KELP,2032,25,,,,,2035,25,,,,,2033.5,0.0
1,1300,RAINFOREST_RESIN,9992,32,,,,,10008,32,,,,,10000.0,16.0
1,1400,RAINFOREST_RESIN,10001,1,9992,28,,,10008,28,,,,,10004.5,16.0
1,1400,KELP,2032,23,,,,,2033,6,2035,23,,,2032.5,0.0
1,1400,SQUID_INK,1841,23,,,,,1842,6,1844,23,,,1841.5,0.0
1,1500,SQUID_INK,1844,1,1843,1,1842,20,1846,21,,,,,1845.0,0.0
1,1500,KELP,2034,1,2032,21,,,2035,21,,,,,2034.5,0.0
1,1500,RAINFOREST_RESIN,9997,2,9992,28,,,10008,28,,,,,10002.5,14.0
1,1600,SQUID_INK,1842,30,,,,,1845,30,,,,,1843.5,0.0
1,1600,RAINFOREST_RESIN,9992,26,,,,,10008,26,,,,,10000.0,14.0
1,1600,KELP,2032,30,,,,,2035,30,,,,,2033.5,0.2440185546875
1,1700,SQUID_INK,1844,28,,,,,1846,8,1848,28,,,1845.0,0.0
1,1700,KELP,2032,28,,,,,2034,8,2036,28,,,2033.0,0.1923828125
1,1700,RAINFOREST_RESIN,9992,35,,,,,10008,35,,,,,10000.0,14.0
1,1800,RAINFOREST_RESIN,10002,3,9992,29,,,10008,29,,,,,10005.0,14.0
1,1800,KELP,2033,4,2032,23,,,2036,23,,,,,2034.5,0.0611572265625
1,1800,SQUID_INK,1847,4,1846,23,,,1849,23,,,,,1848.0,0.0
1,1900,KELP,2032,31,,,,,2036,32,,,,,2034.0,0.0738525390625
1,1900,SQUID_INK,1847,1,1846,30,,,1850,32,,,,,1848.5,0.0
1,1900,RAINFOREST_RESIN,9992,27,,,,,10008,27,,,,,10000.0,14.0
1,2000,KELP,2032,23,,,,,2036,23,,,,,2034.0,-0.081787109375
1,2000,SQUID_INK,1848,2,1847,21,,,1851,23,,,,,1849.5,0.0
1,2000,RAINFOREST_RESIN,9992,34,,,,,10008,34,,,,,10000.0,14.0
1,2100,SQUID_INK,1848,28,,,,,1850,5,1851,28,,,1849.0,0.0
1,2100,RAINFOREST_RESIN,9992,25,,,,,10008,25,,,,,10000.0,14.0
1,2100,KELP,2032,28,,,,,2034,5,2036,28,,,2033.0,-0.012939453125
1,2200,RAINFOREST_RESIN,9992,30,,,,,10008,30,,,,,10000.0,26.0
1,2200,KELP,2033,4,2032,21,,,2036,21,,,,,2034.5,-0.044677734375
1,2200,SQUID_INK,1849,25,,,,,1852,21,,,,,1850.5,0.0
1,2300,KELP,2033,5,2032,24,,,2036,24,,,,,2034.5,-0.03515625
1,2300,SQUID_INK,1849,29,,,,,1852,24,,,,,1850.5,0.0
1,2300,RAINFOREST_RESIN,9992,27,,,,,10008,27,,,,,10000.0,26.0
1,2400,KELP,2032,22,,,,,2036,22,,,,,2034.0,-0.0980224609375
