timestamp,buyer,seller,symbol,currency,price,quantity
0,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,10002,6
100,SUBMISSION,,RAINFOREST_RESIN,SEASHELLS,9997,2
100,,,KELP,SEASHELLS,2034,1
100,,,SQUID_INK,SEASHELLS,1838,1
200,,,KELP,SEASHELLS,2035,1
200,,,SQUID_INK,SEASHELLS,1842,1
300,SUBMISSION,,RAINFOREST_RESIN,SEASHELLS,10002,1
300,,,KELP,SEASHELLS,2034,1
300,,,SQUID_INK,SEASHELLS,1843,1
500,,,KELP,SEASHELLS,2034,1
500,,,SQUID_INK,SEASHELLS,1840,1
600,SUBMISSION,,RAINFOREST_RESIN,SEASHELLS,10000,10
600,,,SQUID_INK,SEASHELLS,1840,5
600,,,KELP,SEASHELLS,2033,5
700,,,SQUID_INK,SEASHELLS,1834,1
700,,,KELP,SEASHELLS,2032,1
800,,,KELP,SEASHELLS,2032,1
800,,,SQUID_INK,SEASHELLS,1833,1
1200,,,SQUID_INK,SEASHELLS,1837,1
1200,,,KELP,SEASHELLS,2032,1
1400,,,SQUID_INK,SEASHELLS,1842,6
1400,,,KELP,SEASHELLS,2033,6
1400,SUBMISSION,,RAINFOREST_RESIN,SEASHELLS,10002,1
1500,,SUBMISSION,KELP,SEASHELLS,2034,1
1900,,,KELP,SEASHELLS,2032,1
1900,,,SQUID_INK,SEASHELLS,1847,1
2100,SUBMISSION,,RAINFOREST_RESIN,SEASHELLS,9997,4
2500,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,10005,5
3000,,,SQUID_INK,SEASHELLS,1855,1
3000,,SUBMISSION,KELP,SEASHELLS,2035,1
3200,,,RAINFOREST_RESIN,SEASHELLS,10003,4
3700,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,9998,1
4000,,,KELP,SEASHELLS,2033,1
4300,,,KELP,SEASHELLS,2033,2
4300,,,SQUID_INK,SEASHELLS,1854,2
4800,,SUBMISSION,SQUID_INK,SEASHELLS,1856,1
4800,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,9998,1
5200,,,SQUID_INK,SEASHELLS,1854,5
5200,,,KELP,SEASHELLS,2033,5
5200,,,SQUID_INK,SEASHELLS,1854,4
5200,,,KELP,SEASHELLS,2033,4
5300,,,RAINFOREST_RESIN,SEASHELLS,9992,6
5400,,,KELP,SEASHELLS,2036,1
5400,,,SQUID_INK,SEASHELLS,1856,1
5500,,,SQUID_INK,SEASHELLS,1854,8
6000,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,10002,7
6200,,,SQUID_INK,SEASHELLS,1855,1
6200,,SUBMISSION,KELP,SEASHELLS,2035,1
6300,,,KELP,SEASHELLS,2036,11
6300,,SUBMISSION,SQUID_INK,SEASHELLS,1856,11
6600,,,KELP,SEASHELLS,2033,5
6600,,,KELP,SEASHELLS,2033,2
6600,SUBMISSION,,RAINFOREST_RESIN,SEASHELLS,9997,4
6600,,,SQUID_INK,SEASHELLS,1857,5
6600,,,SQUID_INK,SEASHELLS,1857,2
6700,,SUBMISSION,SQUID_INK,SEASHELLS,1858,1
6700,,,KELP,SEASHELLS,2035,1
6800,SUBMISSION,,RAINFOREST_RESIN,SEASHELLS,9997,6
6800,,,KELP,SEASHELLS,2033,1
6800,,,SQUID_INK,SEASHELLS,1857,1
6900,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,10002,1
6900,SUBMISSION,,RAINFOREST_RESIN,SEASHELLS,9997,6
7400,,,KELP,SEASHELLS,2036,13
7400,SUBMISSION,,RAINFOREST_RESIN,SEASHELLS,9997,2
7400,,SUBMISSION,SQUID_INK,SEASHELLS,1861,13
7500,,,SQUID_INK,SEASHELLS,1861,3
8000,,SUBMISSION,SQUID_INK,SEASHELLS,1863,1
8000,,SUBMISSION,KELP,SEASHELLS,2035,1
8100,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,10002,8
8200,,,SQUID_INK,SEASHELLS,1862,1
8200,,,KELP,SEASHELLS,2033,1
